Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Object Repository/Page_ITL Component Store/input_Recipe Store_recipeSearchName""), Keys.chord(ENTER))",Firefox 69.0,,,2019-10-20 15:31:21,2019-10-20 15:31:22,0.122s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:31:22,2019-10-20 15:31:23,1.573s,PASSED
,,,,,,,
Test Cases/updateRecipeTest,Firefox 69.0,Update the field data in the recipe,updateRecipe,2019-10-20 15:31:23,2019-10-20 15:31:33,9.874s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:23,2019-10-20 15:31:29,5.632s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (7)""))",Firefox 69.0,,,2019-10-20 15:31:29,2019-10-20 15:31:29,0.447s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_1112 (4)""))",Firefox 69.0,,,2019-10-20 15:31:29,2019-10-20 15:31:30,0.470s,PASSED
"click(findTestObject(""Object Repository/Page_Versions/button_Edit""))",Firefox 69.0,,,2019-10-20 15:31:30,2019-10-20 15:31:30,0.444s,PASSED
"setText(findTestObject(""Page_ITL Component Store/input_Software NameVersion NumberStatusIn DevelopmentReleased_name""), ""softwareRelease16"")",Firefox 69.0,,,2019-10-20 15:31:30,2019-10-20 15:31:30,0.136s,PASSED
"setText(findTestObject(""Page_ITL Component Store/input_Software NameVersion NumberStatusIn DevelopmentReleased_version""), ""1.1.19"")",Firefox 69.0,,,2019-10-20 15:31:30,2019-10-20 15:31:31,0.098s,PASSED
"click(findTestObject(""Page_ITL Component Store/input_Software NameVersion NumberStatusIn DevelopmentReleased_status""))",Firefox 69.0,,,2019-10-20 15:31:31,2019-10-20 15:31:31,0.283s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Submit (3)""))",Firefox 69.0,,,2019-10-20 15:31:31,2019-10-20 15:31:32,0.732s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:31:32,2019-10-20 15:31:33,1.371s,PASSED
,,,,,,,
Test Cases/uploadComponentToStoreTest,Firefox 69.0,Uploads Component to selected AWS Bucket,uploadComp,2019-10-20 15:31:33,2019-10-20 15:31:42,9.047s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:33,2019-10-20 15:31:39,6.230s,PASSED
"click(findTestObject(""Object Repository/Page_ITL Component Store/a_Components""))",Firefox 69.0,,,2019-10-20 15:31:39,2019-10-20 15:31:40,0.540s,PASSED
"click(findTestObject(""Object Repository/Page_ITL Component Store/button_Upload""))",Firefox 69.0,,,2019-10-20 15:31:40,2019-10-20 15:31:41,0.629s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:31:41,2019-10-20 15:31:42,1.417s,PASSED
,,,,,,,
Test Cases/deleteComponentTest,Firefox 69.0,Deletes a component from the component storage,deleteComponent,2019-10-20 15:31:42,2019-10-20 15:31:53,10.570s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:42,2019-10-20 15:31:49,6.377s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Components (1)""))",Firefox 69.0,,,2019-10-20 15:31:49,2019-10-20 15:31:49,0.503s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Select (2)""))",Firefox 69.0,,,2019-10-20 15:31:49,2019-10-20 15:31:50,0.426s,PASSED
"click(findTestObject(""Page_Versions/button_Delete (1)""))",Firefox 69.0,,,2019-10-20 15:31:50,2019-10-20 15:31:51,1.654s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:31:51,2019-10-20 15:31:53,1.378s,PASSED
,,,,,,,
Test Cases/createRecipeTest,Firefox 69.0,Creates a new Recipe and adds to the Database,createRecipe,2019-10-20 15:31:53,2019-10-20 15:32:02,9.644s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:53,2019-10-20 15:31:59,5.680s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (10)""))",Firefox 69.0,,,2019-10-20 15:31:59,2019-10-20 15:31:59,0.698s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Create (3)""))",Firefox 69.0,,,2019-10-20 15:31:59,2019-10-20 15:32:00,0.463s,PASSED
"setText(findTestObject(""Page_ITL Component Store/input_Software Name Version NumberStatusIn DevelopmentReleased_softwareName (1)""), ""Whatsup"")",Firefox 69.0,,,2019-10-20 15:32:00,2019-10-20 15:32:00,0.107s,PASSED
"setText(findTestObject(""Page_ITL Component Store/input_Software Name Version NumberStatusIn DevelopmentReleased_version (1)""), ""1.1.1.1"")",Firefox 69.0,,,2019-10-20 15:32:00,2019-10-20 15:32:00,0.099s,PASSED
"click(findTestObject(""Page_ITL Component Store/input_Software Name Version NumberStatusIn DevelopmentReleased_status (1)""))",Firefox 69.0,,,2019-10-20 15:32:00,2019-10-20 15:32:00,0.305s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Submit (6)""))",Firefox 69.0,,,2019-10-20 15:32:00,2019-10-20 15:32:01,0.756s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:32:01,2019-10-20 15:32:02,1.276s,PASSED
